apt_id,ttp_id
APT32,T1566.001
APT32,T1566.002
APT32,T1569.002
APT32,T1570
APT32,T1571
APT32,T1574.001
APT32,T1583.001
APT32,T1583.006
APT32,T1585.001
APT32,T1588.002
APT32,T1589
APT32,T1589.002
APT32,T1598.003
APT32,T1608.001
APT32,T1608.004
APT33,T1003.001
APT33,T1003.004
APT33,T1003.005
APT33,T1027.013
APT33,T1040
APT33,T1048.003
APT33,T1053.005
APT33,T1059.001
APT33,T1059.005
APT33,T1068
APT33,T1071.001
APT33,T1078
APT33,T1078.004
APT33,T1105
APT33,T1110.003
APT33,T1132.001
APT33,T1203
APT33,T1204.001
APT33,T1204.002
APT33,T1546.003
APT33,T1547.001
APT33,T1552.001
APT33,T1552.006
APT33,T1555
APT33,T1555.003
APT33,T1560.001
APT33,T1566.001
APT33,T1566.002
APT33,T1571
APT33,T1573.001
APT33,T1588.002
APT37,T1005
APT37,T1027
APT37,T1027.003
APT37,T1033
APT37,T1036.001
APT37,T1053.005
APT37,T1055
APT37,T1057
APT37,T1059
APT37,T1059.003
APT37,T1059.005
APT37,T1059.006
APT37,T1071.001
APT37,T1082
APT37,T1102.002
APT37,T1105
APT37,T1106
APT37,T1120
APT37,T1123
APT37,T1189
APT37,T1203
APT37,T1204.002
APT37,T1529
APT37,T1547.001
APT37,T1548.002
APT37,T1555.003
APT37,T1559.002
APT37,T1561.002
APT37,T1566.001
APT38,T1005
APT38,T1027.002
APT38,T1033
APT38,T1036.003
APT38,T1036.006
APT38,T1049
APT38,T1053.003
APT38,T1053.005
APT38,T1055
APT38,T1056.001
APT38,T1057
APT38,T1059.001
APT38,T1059.003
APT38,T1059.005
APT38,T1070.001
APT38,T1070.004
APT38,T1070.006
APT38,T1071.001
APT38,T1082
APT38,T1083
APT38,T1105
APT38,T1106
APT38,T1110
APT38,T1112
APT38,T1115
APT38,T1135
APT38,T1140
APT38,T1189
APT38,T1204.001
APT38,T1204.002
APT38,T1217
APT38,T1218.001
APT38,T1218.005
APT38,T1218.007
APT38,T1218.011
APT38,T1480.002
APT38,T1485
APT38,T1486
APT38,T1505.003
APT38,T1518.001
APT38,T1529
APT38,T1543.003
APT38,T1548.002
APT38,T1553.005
APT38,T1561.002
APT38,T1562.001
APT38,T1562.003
APT38,T1562.004
APT38,T1565.001
APT38,T1565.002
APT38,T1565.003
APT38,T1566.001
APT38,T1569.002
APT38,T1583.001
APT38,T1588.002
APT39,T1003
APT39,T1003.001
APT39,T1005
APT39,T1012
APT39,T1018
APT39,T1021.001
APT39,T1021.002
APT39,T1021.004
APT39,T1027.002
APT39,T1027.013
APT39,T1033
APT39,T1036.005
APT39,T1041
APT39,T1046
APT39,T1053.005
APT39,T1056
APT39,T1056.001
APT39,T1059
APT39,T1059.001
APT39,T1059.005
APT39,T1059.006
APT39,T1059.010
APT39,T1070.004
APT39,T1071.001
APT39,T1071.004
